Timestamp,Sensor_1,Sensor_2
20:53:07,ets Jul 29 2019 12:21:46
20:53:07,rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
20:53:07,configsip: 0, SPIWP:0xee
20:53:07,clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
20:53:07,mode:DIO, clock div:1
20:53:07,load:0x3fff0030,len:4876
20:53:07,ho 0 tail 12 room 4
20:53:07,load:0x40078000,len:16560
20:53:07,load:0x40080400,len:3500
20:53:07,entry 0x400805b4
20:53:47,0.50, 298.16
20:53:47,0.43, 297.74
20:53:47,0.48, 297.56
20:53:47,0.49, 297.56
20:53:47,0.49, 297.44
20:53:47,0.50, 297.36
20:53:47,0.50, 297.18
20:53:47,0.52, 297.12
20:53:47,0.50, 297.12
20:53:48,0.52, 297.12
20:53:48,0.54, 297.24
20:53:48,0.47, 297.26
20:53:48,0.57, 297.42
20:53:48,0.51, 297.36
20:53:48,0.53, 297.14
20:53:48,0.60, 296.68
20:53:48,0.53, 296.14
20:53:48,0.56, 295.86
20:53:49,0.53, 295.56
20:53:49,0.49, 295.32
20:53:49,0.48, 295.12
20:53:49,0.48, 295.00
20:53:49,0.49, 294.88
20:53:49,0.51, 294.88
20:53:49,0.55, 294.88
20:53:49,0.57, 294.98
20:53:49,0.62, 295.28
20:53:49,1.87, 295.58
20:53:50,1.86, 295.86
20:53:50,1.87, 296.10
20:53:50,0.30, 296.36
20:53:50,0.61, 296.72
20:53:50,0.37, 297.02
20:53:50,0.43, 297.12
20:53:50,0.48, 297.14
20:53:50,0.53, 296.62
20:53:50,0.59, 296.32
20:53:51,0.67, 296.10
20:53:51,0.73, 295.90
20:53:51,0.77, 295.72
20:53:51,0.82, 295.58
20:53:51,0.87, 295.44
20:53:51,0.95, 295.22
20:53:51,3.05, -1
20:53:51,1.09, 295.10
20:53:51,1.13, 294.76
20:53:52,1.19, 294.60
20:53:52,1.22, 294.58
20:53:52,3.05, -1
20:53:52,1.39, 294.26
20:53:52,3.05, -1
20:53:52,1.48, 294.16
20:53:52,1.80, 294.32
20:53:52,1.59, 294.32
20:53:52,1.65, 294.36
20:53:53,1.70, 294.38
20:53:53,1.73, 294.32
20:53:53,1.84, 294.32
20:53:53,1.80, 294.36
20:53:53,1.86, 294.22
20:53:53,1.85, 294.26
20:53:53,1.85, 294.32
20:53:53,1.85, 294.36
20:53:53,1.86, 294.32
20:53:54,1.53, 294.36
20:53:54,3.07, -1
20:53:54,1.60, 294.44
20:53:54,1.60, 294.54
20:53:54,1.51, 294.44
20:53:54,1.52, 294.48
20:53:54,1.56, 294.52
20:53:54,1.70, 294.38
20:53:54,1.70, 294.32
20:53:55,1.85, 294.30
20:53:55,1.72, 294.16
20:53:55,1.73, 294.16
20:53:55,1.76, 294.08
20:53:55,1.79, 294.10
20:53:55,1.86, 294.10
20:53:55,1.86, 294.10
20:53:55,1.87, 294.08
20:53:56,1.87, 294.04
20:53:56,1.87, 294.04
20:53:56,3.05, -1
20:53:56,1.88, 294.10
20:53:56,1.87, 294.10
20:53:56,1.87, 294.04
20:53:56,1.88, 294.04
20:53:56,1.87, 294.10
20:53:56,1.87, 294.04
20:53:57,1.88, 294.04
20:53:57,3.05, -1
20:53:57,3.05, -1
20:53:57,3.05, -1
20:53:57,1.88, 293.88
20:53:57,1.88, 293.92
20:53:57,1.88, 293.92
20:53:57,1.88, 293.96
20:53:57,3.05, -1
20:53:58,3.06, -1
20:53:58,3.05, -1
20:53:58,3.07, -1
20:53:58,3.07, -1
20:53:58,3.06, -1
20:53:58,3.06, -1
20:53:58,3.07, -1
20:53:58,3.06, -1
20:53:59,1.89, 293.82
20:53:59,3.06, -1
20:53:59,3.05, -1
20:53:59,3.05, -1
20:53:59,3.05, -1
20:53:59,3.05, -1
20:53:59,3.06, -1
20:53:59,3.05, -1
20:54:00,3.05, -1
20:54:00,3.05, -1
20:54:00,3.05, -1
20:54:00,3.05, -1
20:54:00,3.06, -1
20:54:00,3.05, -1
20:54:00,3.05, -1
20:54:00,3.06, -1
20:54:00,3.05, -1
20:54:01,3.05, -1
20:54:01,3.05, -1
